payment_id,order_id,payment_method,payment_status,payment_date,payment_amount
35,35,bank_transfer,paid,2023-06-29 08:25:10,13164.85
36,36,bank_transfer,failed,2023-06-25 13:27:23,10089.81
37,37,bank_transfer,paid,2023-06-22 03:37:41,1892.84
38,38,paypal,pending,2023-06-22 20:35:47,9601.74
39,39,bank_transfer,pending,2023-06-16 19:50:28,5070.41
40,40,paypal,failed,2023-06-05 06:13:51,1812.59
41,41,google_pay,pending,2023-06-30 01:00:40,2009.46
42,42,bank_transfer,failed,2023-06-15 04:31:10,12122.23
43,43,paypal,paid,2023-06-25 22:35:40,6266.75
44,44,google_pay,paid,2023-06-25 02:07:41,9239.59
45,45,google_pay,paid,2023-06-25 04:51:20,3391.17
46,46,apple_pay,refunded,2023-06-10 00:07:31,3164.14
47,47,bank_transfer,paid,2023-06-22 01:28:00,9613.42
48,48,apple_pay,paid,2023-06-06 23:01:51,3452.03
49,49,apple_pay,pending,2023-06-16 02:43:13,6675.25
50,50,google_pay,paid,2023-06-29 16:54:50,4196.4
51,51,credit_card,paid,2023-06-08 00:17:41,6589.04
52,52,credit_card,failed,2023-07-01 23:29:26,6130.08
53,53,apple_pay,paid,2023-06-05 17:02:07,4981.2
54,54,google_pay,failed,2023-06-22 06:29:41,1617.94
55,55,paypal,paid,2023-06-22 20:40:33,5613.75
56,56,google_pay,paid,2023-06-06 12:53:52,6430.41
57,57,google_pay,paid,2023-06-16 22:49:06,187.44
58,58,credit_card,paid,2023-06-13 18:48:59,317.03
59,59,credit_card,paid,2023-06-14 08:10:30,6933.6
60,60,credit_card,paid,2023-06-17 23:57:06,7857.46
61,61,bank_transfer,paid,2023-06-20 11:28:23,7350.7
62,62,google_pay,paid,2023-06-28 11:29:27,12241.76
63,63,bank_transfer,paid,2023-06-27 02:42:23,6282.47
64,64,paypal,paid,2023-06-08 00:11:07,13204.57
65,65,apple_pay,paid,2023-07-01 15:59:16,7710.25
66,66,credit_card,failed,2023-06-12 12:37:01,2807.46
67,67,google_pay,paid,2023-06-02 18:41:16,13803.79
68,68,apple_pay,paid,2023-06-18 03:14:41,5824.08
69,69,credit_card,refunded,2023-06-25 18:27:11,7369.71
70,70,paypal,paid,2023-06-07 19:03:32,7689.44
71,71,bank_transfer,paid,2023-06-26 20:36:32,4243.29
72,72,credit_card,paid,2023-06-04 17:56:56,1125.15
73,73,bank_transfer,paid,2023-06-13 04:42:05,10860.09
74,74,credit_card,paid,2023-06-15 20:57:32,5808.07
75,75,apple_pay,pending,2023-06-22 21:11:31,8711.18
76,76,credit_card,paid,2023-06-28 16:24:24,1997.68
77,77,google_pay,paid,2023-06-25 16:52:40,11997.6
78,78,paypal,paid,2023-06-03 09:53:04,1735.98
79,79,credit_card,paid,2023-06-09 11:46:26,2296.74
80,80,google_pay,paid,2023-06-16 05:16:07,2651.49
81,81,credit_card,failed,2023-06-26 13:57:58,7959.3
82,82,apple_pay,paid,2023-06-29 13:29:53,4280.37
83,83,credit_card,pending,2023-06-18 22:51:58,14941.45
84,84,google_pay,paid,2023-06-21 14:46:38,11940.3
85,85,bank_transfer,paid,2023-06-16 10:41:08,6667.57
86,86,bank_transfer,paid,2023-06-06 20:18:58,8986.2
87,87,bank_transfer,paid,2023-06-26 13:21:34,2569.83
88,88,bank_transfer,paid,2023-06-06 22:21:44,8294.49
89,89,google_pay,refunded,2023-06-22 15:19:25,9004.68
90,90,apple_pay,paid,2023-06-01 20:30:37,7953.67
91,91,paypal,paid,2023-06-27 00:54:10,1030.53
92,92,bank_transfer,paid,2023-06-25 18:46:24,5720.35
93,93,apple_pay,paid,2023-06-12 17:23:18,2257.63
94,94,apple_pay,paid,2023-06-24 19:43:39,9482.3
95,95,credit_card,paid,2023-06-02 14:38:50,3124.08
96,96,apple_pay,paid,2023-06-08 14:46:34,4076.63
97,97,credit_card,paid,2023-06-11 19:57:04,5448.86
98,98,google_pay,paid,2023-06-04 18:38:39,13921.59
99,99,paypal,paid,2023-06-24 19:03:19,4858.83
100,100,credit_card,paid,2023-06-26 00:45:16,7545.42
101,101,credit_card,paid,2023-06-16 00:25:58,3312.78
102,102,apple_pay,paid,2023-06-15 01:27:24,3255.75
103,103,bank_transfer,refunded,2023-06-28 15:12:23,4939.32
104,104,bank_transfer,paid,2023-06-15 10:41:08,1595.59
105,105,bank_transfer,paid,2023-06-11 14:57:44,5000.34
106,106,apple_pay,paid,2023-06-15 10:52:59,10834.1
107,107,credit_card,paid,2023-06-02 16:14:34,10374.14
108,108,bank_transfer,paid,2023-06-06 21:56:44,8687.01
109,109,apple_pay,paid,2023-06-23 10:42:47,9386.69
110,110,bank_transfer,paid,2023-06-16 12:32:37,6103.09
111,111,credit_card,paid,2023-06-05 07:54:55,782.0
112,112,credit_card,paid,2023-06-09 18:29:10,4435.36
113,113,credit_card,paid,2023-06-18 19:58:52,3971.23
114,114,paypal,paid,2023-06-20 08:44:48,14966.28
115,115,apple_pay,paid,2023-06-27 22:37:20,3790.73
116,116,bank_transfer,paid,2023-06-28 15:22:08,5703.05
117,117,bank_transfer,pending,2023-06-20 19:39:25,955.14
118,118,credit_card,paid,2023-06-10 19:48:56,3013.53
119,119,apple_pay,paid,2023-06-10 02:16:57,10200.61
120,120,credit_card,paid,2023-06-14 07:28:39,3151.37
121,121,apple_pay,paid,2023-06-25 08:42:38,188.76
122,122,credit_card,failed,2023-06-01 15:21:51,5094.7
123,123,bank_transfer,paid,2023-06-29 07:42:08,4302.3
124,124,google_pay,paid,2023-07-01 03:58:56,6614.62
125,125,credit_card,paid,2023-07-01 10:42:48,4883.9
126,126,credit_card,paid,2023-06-03 11:34:19,4297.86
127,127,credit_card,paid,2023-06-03 12:26:31,1538.6
128,128,paypal,refunded,2023-06-25 08:30:16,396.51
129,129,paypal,paid,2023-06-20 09:19:37,1077.28
130,130,apple_pay,paid,2023-06-07 11:40:22,2766.84
131,131,credit_card,paid,2023-06-22 17:42:36,1883.07
132,132,bank_transfer,paid,2023-06-03 01:48:34,5217.18
133,133,bank_transfer,paid,2023-06-19 17:20:54,1282.23
134,134,google_pay,refunded,2023-06-08 08:26:42,3665.08
135,135,paypal,paid,2023-06-06 14:58:28,3712.68
136,136,apple_pay,pending,2023-06-19 14:58:31,6863.3
137,137,google_pay,paid,2023-06-25 22:06:24,981.34
138,138,paypal,paid,2023-06-06 00:58:37,10396.45
139,139,paypal,paid,2023-06-04 05:05:17,5891.57
140,140,paypal,paid,2023-06-24 06:08:02,4822.19
141,141,credit_card,paid,2023-06-02 04:32:05,760.64
142,142,google_pay,paid,2023-07-01 14:29:29,4914.65
143,143,apple_pay,paid,2023-06-08 02:50:01,5038.04
144,144,paypal,paid,2023-06-10 12:25:59,7547.86
145,145,bank_transfer,paid,2023-06-11 05:38:24,2767.38
146,146,google_pay,paid,2023-06-13 03:35:44,5286.89
147,147,paypal,paid,2023-06-06 12:15:46,2532.06
148,148,credit_card,paid,2023-06-26 19:56:08,4119.41
149,149,apple_pay,paid,2023-06-24 16:54:42,4825.68
150,150,google_pay,refunded,2023-06-28 04:25:37,5184.06
151,151,bank_transfer,paid,2023-06-14 14:27:13,3732.18
152,152,paypal,refunded,2023-06-07 05:38:09,4117.66
153,153,paypal,paid,2023-06-08 23:49:45,9015.66
154,154,paypal,failed,2023-06-11 15:56:19,2993.46
155,155,paypal,paid,2023-06-05 07:57:01,973.11
156,156,apple_pay,paid,2023-06-16 10:58:59,3897.38
157,157,apple_pay,pending,2023-06-16 15:07:31,3981.23
158,158,apple_pay,pending,2023-06-15 13:36:27,6019.28
159,159,google_pay,paid,2023-06-03 01:59:59,10928.44
160,160,credit_card,paid,2023-06-04 18:48:25,1678.64
161,161,bank_transfer,failed,2023-06-13 02:45:09,7173.39
162,162,paypal,paid,2023-06-07 03:23:39,6436.77
163,163,apple_pay,paid,2023-06-22 06:11:00,2017.35
164,164,bank_transfer,paid,2023-06-16 09:48:32,2767.24
165,165,paypal,paid,2023-06-23 06:40:11,7181.68
166,166,paypal,paid,2023-06-18 18:40:06,3413.97
167,167,apple_pay,paid,2023-06-14 21:52:56,1064.6
168,168,google_pay,paid,2023-06-02 15:25:43,2580.0
169,169,credit_card,paid,2023-06-09 18:11:25,4957.85
170,170,google_pay,paid,2023-06-27 05:59:40,11844.15
171,171,paypal,paid,2023-06-17 14:51:11,1943.21
172,172,apple_pay,paid,2023-06-18 00:08:46,3667.8
173,173,apple_pay,paid,2023-06-23 07:25:02,8227.87
174,174,credit_card,pending,2023-06-24 06:33:34,5174.03
175,175,credit_card,paid,2023-06-24 12:50:37,876.8
176,176,apple_pay,pending,2023-06-28 06:17:18,5341.67
177,177,credit_card,paid,2023-06-14 06:36:28,1875.78
178,178,paypal,paid,2023-06-24 07:30:12,8117.74
179,179,paypal,paid,2023-06-20 16:46:00,883.2
180,180,paypal,paid,2023-06-21 03:58:33,5872.61
181,181,bank_transfer,pending,2023-06-27 14:50:57,4979.42
182,182,paypal,paid,2023-06-10 06:33:48,2573.94
183,183,apple_pay,paid,2023-06-29 23:37:54,5582.53
184,184,google_pay,paid,2023-06-12 15:18:40,6026.86
185,185,apple_pay,paid,2023-06-06 20:55:22,4324.08
186,186,google_pay,paid,2023-06-08 00:37:21,6555.4
187,187,apple_pay,paid,2023-06-29 20:18:56,7501.48
188,188,paypal,paid,2023-06-24 18:25:50,1900.98
189,189,credit_card,pending,2023-06-26 17:03:09,4658.05
190,190,google_pay,paid,2023-06-07 01:39:17,4551.62
191,191,credit_card,paid,2023-06-05 14:08:21,899.0
192,192,credit_card,pending,2023-06-17 01:46:44,10498.62
193,193,paypal,paid,2023-06-09 21:23:13,2399.69
194,194,apple_pay,paid,2023-06-07 03:18:29,8268.26
195,195,paypal,paid,2023-06-22 02:31:20,9126.49
196,196,credit_card,failed,2023-06-20 09:21:24,7746.88
197,197,paypal,paid,2023-06-05 04:05:03,5620.7
198,198,google_pay,paid,2023-06-21 09:16:44,5742.76
199,199,bank_transfer,paid,2023-06-29 03:09:09,9429.34
200,200,bank_transfer,paid,2023-06-29 00:31:32,1688.03
201,201,bank_transfer,pending,2023-06-09 11:28:31,3245.4
202,202,bank_transfer,paid,2023-06-09 09:11:28,1336.57
203,203,paypal,refunded,2023-06-06 02:41:23,1103.84
204,204,bank_transfer,failed,2023-06-03 01:37:20,6820.52
205,205,google_pay,paid,2023-06-22 04:01:41,1414.73
206,206,bank_transfer,paid,2023-06-03 12:54:09,5346.96
207,207,bank_transfer,paid,2023-06-19 09:34:31,765.54
208,208,apple_pay,paid,2023-06-11 20:53:53,10004.35
209,209,paypal,paid,2023-06-24 15:38:27,3679.35
210,210,google_pay,paid,2023-06-11 13:39:16,5086.5
211,211,paypal,paid,2023-06-17 03:52:48,10686.62
212,212,paypal,paid,2023-06-24 22:34:21,4149.24
213,213,google_pay,paid,2023-07-01 00:35:44,6639.19
214,214,google_pay,paid,2023-06-27 22:13:52,846.16
215,215,paypal,paid,2023-06-08 23:35:19,1212.03
216,216,credit_card,paid,2023-06-24 14:54:32,6707.1
217,217,credit_card,paid,2023-06-21 16:27:48,6314.85
218,218,paypal,paid,2023-06-22 00:26:07,2155.38
219,219,paypal,paid,2023-06-14 21:31:11,4639.36
220,220,credit_card,paid,2023-06-28 17:08:20,13980.4
221,221,bank_transfer,paid,2023-06-27 00:26:27,5666.65
222,222,google_pay,paid,2023-06-14 02:39:54,5764.26
223,223,apple_pay,refunded,2023-06-19 03:06:24,10067.21
224,224,bank_transfer,paid,2023-06-05 16:02:25,9929.93
225,225,credit_card,paid,2023-06-18 22:39:38,1809.18
226,226,bank_transfer,failed,2023-06-03 10:13:02,8044.21
227,227,credit_card,failed,2023-06-16 07:36:03,5361.15
228,228,bank_transfer,paid,2023-06-01 21:40:48,1923.96
229,229,paypal,paid,2023-06-14 18:17:42,7994.55
230,230,bank_transfer,paid,2023-06-20 20:21:15,7396.42
231,231,credit_card,paid,2023-06-16 00:10:06,3901.86
232,232,bank_transfer,paid,2023-06-23 01:05:59,11228.27
233,233,credit_card,pending,2023-06-07 22:42:19,9908.96
234,234,bank_transfer,paid,2023-06-12 23:33:54,8880.65
235,235,paypal,paid,2023-06-12 07:51:36,3730.58
236,236,credit_card,paid,2023-06-08 18:52:41,6102.42
237,237,paypal,paid,2023-06-20 13:12:00,10289.21
238,238,credit_card,paid,2023-06-06 05:36:55,12068.2
239,239,paypal,paid,2023-06-07 00:38:36,6053.44
240,240,bank_transfer,paid,2023-06-30 16:53:59,630.57
241,241,credit_card,paid,2023-06-11 08:32:49,5415.66
242,242,google_pay,pending,2023-06-16 11:37:29,502.86
243,243,google_pay,failed,2023-06-30 11:29:00,8690.07
244,244,apple_pay,refunded,2023-06-11 19:54:34,14461.88
245,245,credit_card,paid,2023-06-16 23:03:23,10154.45
246,246,google_pay,paid,2023-06-03 19:47:07,10478.68
247,247,google_pay,paid,2023-06-24 00:02:18,5836.48
248,248,bank_transfer,paid,2023-06-07 06:05:13,12703.98
249,249,apple_pay,paid,2023-06-11 23:52:24,10134.34
250,250,apple_pay,paid,2023-06-27 17:24:26,7672.14
251,251,apple_pay,paid,2023-06-15 18:40:57,9707.12
252,252,google_pay,paid,2023-06-14 07:27:08,5214.24
253,253,paypal,pending,2023-06-04 10:31:25,13560.31
254,254,apple_pay,paid,2023-06-19 00:57:29,3625.6
255,255,google_pay,failed,2023-06-28 03:48:24,1254.46
256,256,google_pay,paid,2023-06-29 02:32:31,6940.78
257,257,paypal,paid,2023-06-28 23:01:11,2587.42
258,258,paypal,paid,2023-06-14 02:29:08,4214.1
259,259,apple_pay,pending,2023-06-29 05:41:04,5689.29
260,260,paypal,paid,2023-06-06 18:23:05,1872.36
261,261,google_pay,paid,2023-06-18 21:03:02,14337.24
262,262,apple_pay,paid,2023-06-24 05:04:36,6432.15
263,263,credit_card,paid,2023-06-26 13:41:28,2569.32
264,264,apple_pay,paid,2023-06-16 08:11:07,4042.52
265,265,google_pay,paid,2023-06-10 20:26:03,6736.06
266,266,apple_pay,paid,2023-06-26 03:46:01,7587.71
267,267,bank_transfer,paid,2023-06-25 00:01:43,4111.85
268,268,paypal,failed,2023-06-16 01:56:25,6836.14
269,269,paypal,paid,2023-06-17 09:35:05,3899.46
270,270,bank_transfer,paid,2023-06-14 08:47:46,3236.66
271,271,credit_card,paid,2023-06-16 05:28:02,1972.6
272,272,apple_pay,paid,2023-06-25 09:43:47,4610.09
273,273,google_pay,paid,2023-06-06 00:00:00,10153.33
274,274,google_pay,paid,2023-06-25 09:02:24,4573.87
275,275,credit_card,paid,2023-06-14 23:56:06,5181.27
276,276,google_pay,paid,2023-06-14 10:16:21,10047.02
277,277,credit_card,refunded,2023-06-11 10:27:28,2246.1
278,278,apple_pay,paid,2023-06-26 08:45:49,12272.18
279,279,credit_card,pending,2023-06-30 09:29:14,1459.34
280,280,credit_card,paid,2023-06-11 03:10:39,11093.03
281,281,google_pay,paid,2023-06-20 20:14:03,572.96
282,282,google_pay,paid,2023-06-25 15:58:11,2537.35
283,283,bank_transfer,paid,2023-06-26 05:27:48,3741.45
284,284,apple_pay,failed,2023-06-12 14:00:23,3905.04
285,285,apple_pay,refunded,2023-06-20 02:10:20,1915.87
286,286,google_pay,paid,2023-07-01 15:59:44,4435.79
287,287,google_pay,paid,2023-06-17 09:53:05,2152.94
288,288,google_pay,paid,2023-06-09 02:55:17,5284.09
289,289,apple_pay,paid,2023-06-27 20:01:25,1810.42
290,290,bank_transfer,paid,2023-06-05 01:09:29,9827.58
291,291,bank_transfer,paid,2023-06-13 18:55:49,1593.72
292,292,credit_card,paid,2023-06-04 23:11:15,6840.34
293,293,google_pay,paid,2023-06-07 09:38:28,7663.69
294,294,credit_card,paid,2023-06-15 00:49:47,10574.06
295,295,google_pay,paid,2023-06-16 21:14:21,3430.18
296,296,google_pay,failed,2023-06-07 04:38:48,8574.38
297,297,apple_pay,failed,2023-06-22 10:16:30,8049.84
298,298,apple_pay,pending,2023-06-28 18:02:00,3906.39
299,299,credit_card,paid,2023-06-22 21:35:22,6670.34
300,300,credit_card,paid,2023-06-29 22:52:09,3509.11
301,301,apple_pay,paid,2023-06-12 16:54:18,2244.14
302,302,bank_transfer,paid,2023-06-02 18:06:23,3196.17
303,303,paypal,paid,2023-06-01 10:56:48,6079.23
304,304,apple_pay,paid,2023-07-02 13:21:51,9704.14
305,305,bank_transfer,paid,2023-06-15 23:53:23,4079.14
306,306,bank_transfer,paid,2023-06-18 05:46:03,6958.72
307,307,paypal,failed,2023-06-07 18:11:21,7560.97
308,308,paypal,paid,2023-06-05 23:04:55,3706.17
309,309,apple_pay,paid,2023-06-19 00:38:03,1891.8
310,310,bank_transfer,failed,2023-06-06 06:44:21,2837.09
311,311,bank_transfer,paid,2023-06-21 12:27:16,5258.48
312,312,paypal,paid,2023-06-28 13:15:53,3812.58
313,313,google_pay,paid,2023-06-06 01:06:06,2042.81
314,314,paypal,paid,2023-06-10 08:53:35,4530.36
315,315,apple_pay,paid,2023-06-25 17:36:50,5470.72
316,316,paypal,paid,2023-06-30 19:28:56,2176.92
317,317,bank_transfer,paid,2023-06-11 08:24:36,1399.06
318,318,credit_card,paid,2023-07-01 04:39:46,14586.9
319,319,google_pay,paid,2023-06-29 04:45:26,7540.87
320,320,paypal,paid,2023-06-18 03:27:19,9675.57
321,321,bank_transfer,paid,2023-06-30 06:39:02,4380.58
322,322,apple_pay,paid,2023-06-09 01:18:21,3183.12
323,323,credit_card,failed,2023-06-26 20:01:22,9532.02
324,324,paypal,paid,2023-06-06 19:31:25,4607.48
325,325,bank_transfer,paid,2023-06-20 07:11:25,3362.42
326,326,google_pay,paid,2023-06-23 00:16:24,1131.96
327,327,credit_card,paid,2023-06-30 13:57:17,7261.8
328,328,apple_pay,paid,2023-06-26 17:06:37,2487.54
329,329,bank_transfer,paid,2023-06-13 14:47:16,4944.24
330,330,paypal,paid,2023-07-01 12:19:49,2037.94
331,331,paypal,paid,2023-06-21 02:27:22,11539.52
332,332,bank_transfer,paid,2023-06-15 08:50:30,4038.65
333,333,apple_pay,paid,2023-06-25 22:05:50,10233.66
334,334,apple_pay,refunded,2023-06-22 14:05:54,1131.53
335,335,paypal,paid,2023-06-13 06:53:44,6571.92
336,336,bank_transfer,failed,2023-06-03 20:14:15,13507.44
337,337,bank_transfer,paid,2023-06-14 09:25:07,3626.56
338,338,apple_pay,paid,2023-06-23 23:00:00,4996.45
339,339,paypal,paid,2023-06-11 08:45:05,3904.06
340,340,google_pay,paid,2023-06-30 04:33:23,5419.05
341,341,paypal,paid,2023-06-03 20:56:27,6174.17
342,342,apple_pay,paid,2023-06-30 13:18:35,6442.45
343,343,bank_transfer,failed,2023-06-03 03:22:55,3256.77
344,344,bank_transfer,paid,2023-06-04 00:00:00,8286.55
345,345,paypal,paid,2023-06-22 18:47:06,8363.56
346,346,google_pay,paid,2023-07-01 01:23:42,3697.76
347,347,apple_pay,paid,2023-06-05 16:30:59,1613.43
348,348,apple_pay,paid,2023-06-13 06:48:56,4106.1
349,349,google_pay,paid,2023-06-13 20:41:28,9056.47
350,350,bank_transfer,refunded,2023-06-17 14:21:13,16152.65
351,351,credit_card,paid,2023-06-28 16:20:54,6311.16
352,352,credit_card,paid,2023-06-26 02:01:26,1653.92
353,353,google_pay,pending,2023-06-06 16:53:39,11641.95
354,354,paypal,paid,2023-06-27 14:39:16,13054.53
355,355,paypal,refunded,2023-06-23 17:07:18,11577.05
356,356,google_pay,pending,2023-06-20 14:47:49,7982.91
357,357,paypal,paid,2023-06-16 09:32:55,11177.94
358,358,google_pay,paid,2023-06-16 09:07:30,1583.25
359,359,bank_transfer,paid,2023-06-30 11:29:10,3776.41
360,360,credit_card,paid,2023-06-19 05:42:37,2611.31
361,361,google_pay,paid,2023-06-07 06:25:25,1721.15
362,362,google_pay,pending,2023-06-27 02:59:26,8121.71
363,363,paypal,refunded,2023-06-29 09:05:11,5175.03
364,364,bank_transfer,paid,2023-06-17 11:15:00,3909.27
365,365,google_pay,paid,2023-07-01 06:19:02,4127.47
366,366,bank_transfer,paid,2023-06-20 16:31:15,5462.84
367,367,paypal,paid,2023-06-11 18:52:31,80.4
368,368,google_pay,paid,2023-06-03 10:26:25,17754.51
369,369,google_pay,paid,2023-06-26 09:47:30,7991.25
370,370,apple_pay,paid,2023-06-18 02:12:48,1498.3
371,371,google_pay,paid,2023-06-03 18:47:41,4391.6
372,372,credit_card,paid,2023-06-20 09:34:27,6836.4
373,373,apple_pay,paid,2023-06-14 19:51:06,10085.2
374,374,apple_pay,failed,2023-06-15 06:21:30,6062.44
375,375,paypal,paid,2023-06-24 12:20:54,1937.46
376,376,paypal,paid,2023-06-15 08:48:36,2387.52
377,377,apple_pay,paid,2023-06-08 19:46:11,7858.32
378,378,credit_card,paid,2023-06-04 16:44:53,1400.85
379,379,credit_card,paid,2023-06-09 13:10:55,2960.6
380,380,apple_pay,refunded,2023-06-18 15:22:22,953.2
381,381,credit_card,paid,2023-06-23 05:15:38,369.36
382,382,google_pay,paid,2023-06-02 11:19:20,3633.84
383,383,google_pay,paid,2023-06-26 02:02:15,8011.38
384,384,credit_card,paid,2023-06-24 15:08:12,9955.24
385,385,apple_pay,paid,2023-06-04 02:53:46,1835.35
386,386,paypal,paid,2023-06-12 22:17:35,3371.44
387,387,paypal,paid,2023-06-29 23:43:00,3764.84
388,388,paypal,paid,2023-06-15 01:04:52,114.34
389,389,google_pay,paid,2023-06-27 17:24:59,302.25
390,390,google_pay,paid,2023-06-28 01:58:28,2658.56
391,391,paypal,paid,2023-06-28 23:39:34,4560.77
392,392,credit_card,refunded,2023-06-21 11:21:10,5325.56
393,393,bank_transfer,paid,2023-06-06 08:22:58,6166.52
394,394,paypal,paid,2023-06-05 16:01:40,11729.83
395,395,credit_card,paid,2023-06-12 23:26:24,5474.21
396,396,apple_pay,paid,2023-06-12 21:23:01,9089.21
397,397,google_pay,paid,2023-06-13 20:28:36,4135.81
398,398,google_pay,pending,2023-06-26 16:23:13,7102.86
399,399,google_pay,paid,2023-06-20 06:27:47,9369.9
400,400,credit_card,failed,2023-06-03 04:43:29,8795.33
401,401,bank_transfer,paid,2023-06-20 06:10:01,6852.57
402,402,paypal,paid,2023-07-01 01:20:15,4922.51
403,403,paypal,paid,2023-06-22 19:01:36,3834.76
404,404,bank_transfer,paid,2023-06-11 12:42:04,5239.96
405,405,paypal,pending,2023-06-12 07:36:44,2818.91
406,406,apple_pay,paid,2023-06-22 08:11:49,2183.27
407,407,bank_transfer,paid,2023-06-13 20:59:19,11201.82
408,408,paypal,paid,2023-06-28 01:19:46,4840.0
409,409,google_pay,paid,2023-06-07 22:42:22,9390.86
410,410,bank_transfer,paid,2023-06-26 14:43:31,3777.66
411,411,google_pay,failed,2023-06-25 18:13:09,7315.82
412,412,paypal,paid,2023-06-28 19:04:42,7823.71
413,413,google_pay,paid,2023-06-30 13:31:19,10261.8
414,414,google_pay,pending,2023-06-30 20:13:28,2718.09
415,415,paypal,paid,2023-06-14 09:29:47,3976.62
416,416,apple_pay,paid,2023-06-28 23:09:12,1552.12
417,417,bank_transfer,paid,2023-06-07 00:06:26,5115.0
418,418,bank_transfer,paid,2023-06-17 05:17:00,5791.94
419,419,bank_transfer,paid,2023-06-21 05:59:18,4404.94
420,420,google_pay,paid,2023-06-01 10:26:12,2193.87
421,421,google_pay,refunded,2023-06-09 06:38:49,5105.54
422,422,credit_card,paid,2023-06-17 14:56:31,3714.97
423,423,paypal,paid,2023-06-25 12:48:44,10730.33
424,424,apple_pay,paid,2023-06-29 06:51:14,11925.42
425,425,google_pay,paid,2023-06-21 12:07:42,12233.02
426,426,credit_card,paid,2023-06-09 09:49:14,13825.03
427,427,credit_card,paid,2023-06-02 21:25:11,1348.75
428,428,credit_card,paid,2023-06-26 17:56:24,14748.69
429,429,credit_card,paid,2023-06-17 13:52:36,10906.56
430,430,credit_card,paid,2023-06-09 02:33:04,3814.26
431,431,paypal,paid,2023-06-20 06:35:37,7576.75
432,432,credit_card,paid,2023-06-07 03:59:40,3773.42
433,433,google_pay,paid,2023-06-29 12:00:58,7407.35
434,434,apple_pay,paid,2023-07-01 08:15:45,3784.4
435,435,google_pay,paid,2023-06-29 03:57:56,5617.76
436,436,credit_card,paid,2023-06-11 15:52:17,5343.73
437,437,google_pay,paid,2023-06-29 11:12:25,4746.84
438,438,apple_pay,pending,2023-06-20 23:28:56,8624.18
439,439,paypal,paid,2023-06-28 18:04:27,12623.2
440,440,paypal,failed,2023-06-18 02:35:49,7270.76
441,441,bank_transfer,paid,2023-06-07 04:05:24,8221.31
442,442,credit_card,paid,2023-06-07 20:07:22,9243.45
443,443,google_pay,pending,2023-06-05 04:36:35,4429.18
444,444,paypal,paid,2023-06-24 06:51:28,2773.86
445,445,apple_pay,paid,2023-06-14 13:01:36,1568.59
446,446,paypal,paid,2023-06-07 06:47:25,1130.23
447,447,bank_transfer,paid,2023-06-03 13:46:28,6337.97
448,448,apple_pay,paid,2023-06-08 19:04:29,6269.92
449,449,google_pay,paid,2023-06-20 06:47:57,6125.42
450,450,google_pay,failed,2023-07-02 03:20:00,8030.02
451,451,apple_pay,failed,2023-06-10 13:00:19,2014.73
452,452,google_pay,paid,2023-06-11 23:53:12,1947.06
453,453,google_pay,paid,2023-06-08 22:08:55,9345.32
454,454,apple_pay,paid,2023-06-20 17:20:05,14055.79
455,455,paypal,pending,2023-06-13 08:53:03,3684.24
456,456,apple_pay,paid,2023-07-02 07:04:23,2067.69
457,457,apple_pay,paid,2023-06-01 22:20:58,4105.88
458,458,paypal,paid,2023-06-03 23:20:47,400.4
459,459,google_pay,paid,2023-06-09 17:02:20,9518.94
