shipment_id,order_id,shipment_status,shipment_provider,shipped_date,delivered_date
77,77,processing,DPD,,
78,78,processing,UPS,,
79,79,delivered,DPD,2025-12-09 02:23:24,2025-12-10 02:23:24
80,80,processing,DHL,,
81,81,cancelled,,,
82,82,shipped,DPD,2025-07-29 16:18:40,
83,83,cancelled,,,
84,84,processing,InPost,,
85,85,delivered,DPD,2025-10-01 19:26:44,2025-10-04 19:26:44
86,86,cancelled,,,
87,87,shipped,InPost,2025-11-24 11:29:48,
88,88,shipped,UPS,2025-11-23 17:18:21,
89,89,delivered,FedEx,2025-09-07 10:57:32,2025-09-13 10:57:32
90,90,cancelled,,,
91,91,shipped,InPost,2025-12-29 14:44:33,
92,92,cancelled,,,
93,93,cancelled,,,
94,94,delivered,FedEx,2026-01-13 22:53:47,2026-01-14 22:53:47
95,95,processing,DPD,,
96,96,delivered,DPD,2025-11-27 10:44:50,2025-12-07 10:44:50
97,97,shipped,InPost,2025-05-19 01:24:25,
98,98,processing,InPost,,
99,99,cancelled,,,
100,100,cancelled,,,
101,101,delivered,FedEx,2026-04-06 09:14:11,2026-04-11 09:14:11
102,102,delivered,DHL,2025-07-23 00:39:50,2025-08-01 00:39:50
103,103,processing,DHL,,
104,104,processing,DPD,,
105,105,cancelled,,,
106,106,delivered,UPS,2025-10-24 00:43:50,2025-10-30 00:43:50
107,107,shipped,DPD,2025-05-26 17:10:42,
108,108,cancelled,,,
109,109,cancelled,,,
110,110,processing,InPost,,
111,111,shipped,FedEx,2026-01-06 06:12:23,
112,112,cancelled,,,
113,113,shipped,DHL,2025-10-12 13:51:23,
114,114,shipped,FedEx,2026-02-03 21:01:38,
115,115,delivered,DPD,2025-11-03 04:37:09,2025-11-11 04:37:09
116,116,delivered,DPD,2025-10-24 02:52:34,2025-11-01 02:52:34
117,117,delivered,DHL,2025-11-04 22:14:44,2025-11-06 22:14:44
118,118,cancelled,,,
119,119,processing,DPD,,
120,120,delivered,DPD,2025-11-27 16:57:32,2025-12-07 16:57:32
121,121,processing,InPost,,
122,122,processing,InPost,,
123,123,processing,FedEx,,
124,124,processing,InPost,,
125,125,cancelled,,,
126,126,cancelled,,,
127,127,shipped,FedEx,2025-06-27 20:31:55,
128,128,delivered,FedEx,2025-07-26 02:27:09,2025-08-05 02:27:09
129,129,delivered,InPost,2025-08-07 07:26:57,2025-08-11 07:26:57
130,130,processing,UPS,,
131,131,cancelled,,,
132,132,cancelled,,,
133,133,processing,UPS,,
134,134,processing,UPS,,
135,135,delivered,DPD,2026-02-04 15:02:27,2026-02-09 15:02:27
136,136,processing,FedEx,,
137,137,delivered,DHL,2025-09-25 18:29:59,2025-09-29 18:29:59
138,138,processing,FedEx,,
139,139,delivered,UPS,2025-06-03 21:58:15,2025-06-04 21:58:15
140,140,delivered,UPS,2025-08-23 17:31:07,2025-08-26 17:31:07
141,141,delivered,DPD,2025-11-19 21:19:53,2025-11-25 21:19:53
142,142,delivered,FedEx,2025-07-23 07:00:38,2025-07-24 07:00:38
143,143,cancelled,,,
144,144,shipped,InPost,2025-09-22 16:18:24,
145,145,cancelled,,,
146,146,shipped,FedEx,2025-12-25 01:49:08,
147,147,processing,FedEx,,
148,148,cancelled,,,
149,149,cancelled,,,
150,150,shipped,FedEx,2026-04-12 16:37:56,
151,151,delivered,UPS,2026-04-03 18:52:42,2026-04-13 18:52:42
152,152,delivered,DPD,2026-04-29 01:55:23,2026-05-05 01:55:23
153,153,cancelled,,,
154,154,shipped,InPost,2025-09-26 14:04:55,
155,155,delivered,UPS,2026-01-07 04:36:19,2026-01-16 04:36:19
156,156,cancelled,,,
157,157,processing,InPost,,
158,158,cancelled,,,
159,159,processing,DHL,,
160,160,delivered,UPS,2026-05-08 13:41:22,2026-05-16 13:41:22
161,161,shipped,DHL,2026-04-22 01:36:42,
162,162,cancelled,,,
163,163,cancelled,,,
164,164,processing,DPD,,
165,165,shipped,InPost,2025-11-19 06:07:16,
166,166,delivered,DHL,2026-05-10 10:12:09,2026-05-12 10:12:09
167,167,processing,FedEx,,
168,168,delivered,InPost,2026-03-26 18:02:04,2026-04-04 18:02:04
169,169,shipped,DPD,2025-10-12 17:16:24,
170,170,delivered,InPost,2025-10-28 21:08:23,2025-11-04 21:08:23
171,171,shipped,UPS,2025-06-04 10:05:50,
172,172,cancelled,,,
173,173,delivered,UPS,2025-09-24 00:55:33,2025-10-03 00:55:33
174,174,delivered,DPD,2025-12-14 10:38:30,2025-12-22 10:38:30
175,175,cancelled,,,
176,176,delivered,DHL,2025-12-30 03:21:20,2026-01-07 03:21:20
177,177,cancelled,,,
178,178,cancelled,,,
179,179,delivered,InPost,2026-01-27 18:19:19,2026-01-28 18:19:19
180,180,processing,DPD,,
181,181,cancelled,,,
182,182,cancelled,,,
183,183,processing,UPS,,
184,184,delivered,DHL,2026-04-07 08:22:29,2026-04-16 08:22:29
185,185,delivered,UPS,2025-07-06 12:09:54,2025-07-16 12:09:54
186,186,shipped,DHL,2025-10-20 22:33:11,
187,187,shipped,DHL,2025-10-22 05:26:24,
188,188,shipped,InPost,2026-04-26 20:32:19,
189,189,shipped,FedEx,2026-03-27 00:55:14,
190,190,processing,DHL,,
191,191,processing,DHL,,
192,192,processing,DHL,,
193,193,cancelled,,,
194,194,delivered,InPost,2026-04-14 05:00:33,2026-04-19 05:00:33
195,195,cancelled,,,
196,196,delivered,UPS,2025-06-25 22:28:34,2025-07-05 22:28:34
197,197,shipped,UPS,2025-12-14 13:09:50,
198,198,shipped,UPS,2025-07-16 19:41:59,
199,199,cancelled,,,
200,200,processing,DPD,,
201,201,delivered,InPost,2025-10-01 19:09:00,2025-10-04 19:09:00
202,202,processing,DHL,,
203,203,shipped,InPost,2025-06-16 18:32:15,
204,204,shipped,FedEx,2026-01-09 17:58:26,
205,205,processing,FedEx,,
206,206,cancelled,,,
207,207,cancelled,,,
208,208,cancelled,,,
209,209,processing,DPD,,
210,210,delivered,InPost,2026-03-23 15:47:08,2026-03-30 15:47:08
211,211,delivered,FedEx,2026-01-10 07:37:43,2026-01-20 07:37:43
212,212,cancelled,,,
213,213,delivered,FedEx,2025-05-29 14:04:41,2025-06-07 14:04:41
214,214,shipped,DHL,2025-10-06 01:03:36,
215,215,delivered,InPost,2025-09-10 11:10:21,2025-09-16 11:10:21
216,216,cancelled,,,
217,217,cancelled,,,
218,218,cancelled,,,
219,219,shipped,FedEx,2025-11-20 19:20:21,
220,220,delivered,FedEx,2026-02-24 08:10:31,2026-02-26 08:10:31
221,221,cancelled,,,
222,222,cancelled,,,
223,223,delivered,UPS,2026-04-25 19:53:15,2026-04-27 19:53:15
224,224,shipped,FedEx,2026-03-04 10:40:19,
225,225,shipped,DHL,2026-04-04 06:24:20,
226,226,cancelled,,,
227,227,processing,InPost,,
228,228,shipped,DPD,2025-08-16 14:15:35,
229,229,cancelled,,,
230,230,shipped,InPost,2026-02-14 03:41:49,
231,231,cancelled,,,
232,232,shipped,UPS,2025-11-25 12:08:27,
233,233,processing,DPD,,
234,234,delivered,InPost,2025-06-05 13:00:41,2025-06-07 13:00:41
235,235,processing,InPost,,
236,236,processing,InPost,,
237,237,delivered,DPD,2026-03-30 19:58:38,2026-04-01 19:58:38
238,238,delivered,DHL,2026-03-06 23:23:08,2026-03-10 23:23:08
239,239,shipped,DPD,2026-03-27 00:26:50,
240,240,shipped,UPS,2025-09-14 08:05:36,
241,241,delivered,FedEx,2025-10-02 09:10:31,2025-10-05 09:10:31
242,242,processing,InPost,,
243,243,delivered,UPS,2026-02-19 21:57:57,2026-02-25 21:57:57
244,244,delivered,DHL,2025-12-28 06:35:52,2026-01-02 06:35:52
245,245,delivered,FedEx,2026-02-10 06:05:17,2026-02-15 06:05:17
246,246,cancelled,,,
247,247,cancelled,,,
248,248,processing,UPS,,
249,249,shipped,DHL,2025-12-04 05:07:55,
250,250,shipped,InPost,2025-09-29 21:57:37,
251,251,delivered,FedEx,2026-03-16 08:42:35,2026-03-19 08:42:35
252,252,processing,FedEx,,
253,253,processing,FedEx,,
254,254,delivered,UPS,2025-11-02 09:46:19,2025-11-06 09:46:19
255,255,shipped,InPost,2026-03-22 01:07:02,
256,256,shipped,UPS,2026-03-13 17:29:13,
257,257,delivered,UPS,2026-02-18 05:30:47,2026-02-27 05:30:47
258,258,delivered,DHL,2025-07-25 13:52:48,2025-08-02 13:52:48
259,259,delivered,DPD,2026-04-09 02:51:54,2026-04-13 02:51:54
260,260,delivered,DHL,2025-12-08 06:50:53,2025-12-13 06:50:53
261,261,shipped,UPS,2025-10-09 06:21:03,
262,262,cancelled,,,
263,263,cancelled,,,
264,264,shipped,DPD,2025-08-19 03:06:47,
265,265,processing,FedEx,,
266,266,cancelled,,,
267,267,delivered,UPS,2025-09-25 04:29:14,2025-09-29 04:29:14
268,268,cancelled,,,
269,269,processing,UPS,,
270,270,processing,InPost,,
271,271,shipped,InPost,2026-05-03 07:21:07,
272,272,processing,DHL,,
273,273,cancelled,,,
274,274,shipped,UPS,2026-04-30 12:41:30,
275,275,cancelled,,,
276,276,shipped,InPost,2025-05-19 09:41:10,
277,277,delivered,InPost,2025-11-28 10:34:58,2025-11-29 10:34:58
278,278,cancelled,,,
279,279,cancelled,,,
280,280,delivered,DHL,2025-05-13 10:15:05,2025-05-19 10:15:05
281,281,processing,DPD,,
282,282,processing,InPost,,
283,283,shipped,InPost,2025-05-31 15:18:43,
284,284,shipped,InPost,2025-06-22 09:20:07,
285,285,cancelled,,,
286,286,delivered,InPost,2026-01-22 06:20:34,2026-01-27 06:20:34
287,287,cancelled,,,
288,288,cancelled,,,
289,289,delivered,InPost,2025-05-24 15:41:49,2025-05-25 15:41:49
290,290,shipped,DHL,2025-08-15 17:21:53,
291,291,cancelled,,,
292,292,shipped,InPost,2025-06-14 19:30:27,
293,293,cancelled,,,
294,294,delivered,FedEx,2026-05-01 17:53:49,2026-05-10 17:53:49
295,295,processing,DPD,,
296,296,delivered,UPS,2026-04-18 19:12:40,2026-04-27 19:12:40
297,297,shipped,FedEx,2025-10-27 08:47:21,
298,298,delivered,DPD,2026-02-21 06:40:28,2026-02-25 06:40:28
299,299,shipped,FedEx,2026-03-07 15:59:25,
300,300,delivered,FedEx,2026-04-24 02:20:56,2026-04-25 02:20:56
301,301,delivered,DPD,2026-03-17 01:09:19,2026-03-23 01:09:19
302,302,cancelled,,,
303,303,delivered,FedEx,2025-05-20 09:54:08,2025-05-22 09:54:08
304,304,delivered,InPost,2026-01-12 17:23:52,2026-01-22 17:23:52
305,305,delivered,InPost,2025-09-30 07:18:37,2025-10-03 07:18:37
306,306,shipped,DHL,2026-03-06 12:19:08,
307,307,shipped,DHL,2026-03-21 18:14:22,
308,308,delivered,DPD,2026-01-29 03:16:16,2026-02-06 03:16:16
309,309,delivered,UPS,2025-09-09 12:44:45,2025-09-15 12:44:45
310,310,processing,DHL,,
311,311,delivered,InPost,2026-01-16 18:19:28,2026-01-23 18:19:28
312,312,shipped,DHL,2026-04-30 18:14:45,
313,313,processing,DPD,,
314,314,cancelled,,,
315,315,cancelled,,,
316,316,shipped,UPS,2025-10-18 13:06:21,
317,317,delivered,FedEx,2025-06-25 11:01:32,2025-07-05 11:01:32
318,318,cancelled,,,
319,319,delivered,UPS,2025-07-01 13:34:36,2025-07-09 13:34:36
320,320,delivered,FedEx,2026-02-17 21:13:20,2026-02-19 21:13:20
321,321,processing,DHL,,
322,322,shipped,FedEx,2026-01-12 10:50:01,
323,323,shipped,DHL,2026-04-11 02:03:46,
324,324,shipped,FedEx,2025-06-27 11:23:16,
325,325,processing,DHL,,
326,326,cancelled,,,
327,327,shipped,InPost,2026-03-03 00:12:21,
328,328,cancelled,,,
329,329,shipped,DPD,2026-01-01 15:10:43,
330,330,cancelled,,,
331,331,shipped,UPS,2026-01-24 07:13:25,
332,332,delivered,DHL,2025-09-30 17:36:11,2025-10-02 17:36:11
333,333,cancelled,,,
334,334,cancelled,,,
335,335,shipped,FedEx,2025-10-16 09:38:35,
336,336,processing,DPD,,
337,337,delivered,UPS,2026-03-06 07:42:21,2026-03-11 07:42:21
338,338,shipped,UPS,2025-10-29 06:48:54,
339,339,shipped,FedEx,2025-10-13 22:55:27,
340,340,delivered,DPD,2026-02-17 15:27:48,2026-02-18 15:27:48
341,341,delivered,DPD,2025-12-29 06:30:57,2026-01-08 06:30:57
342,342,processing,DPD,,
343,343,processing,InPost,,
344,344,cancelled,,,
345,345,shipped,InPost,2025-06-05 21:05:54,
346,346,shipped,InPost,2026-04-29 09:51:04,
347,347,shipped,DPD,2025-12-23 12:50:58,
348,348,shipped,UPS,2026-02-02 11:04:50,
349,349,shipped,UPS,2025-08-24 19:25:28,
350,350,processing,UPS,,
351,351,delivered,DPD,2026-01-17 06:30:54,2026-01-26 06:30:54
352,352,delivered,UPS,2025-12-02 07:10:59,2025-12-08 07:10:59
353,353,shipped,DHL,2026-03-08 01:01:12,
354,354,processing,FedEx,,
355,355,processing,DPD,,
356,356,delivered,UPS,2025-07-05 18:30:43,2025-07-10 18:30:43
357,357,delivered,DHL,2025-07-27 04:30:21,2025-08-02 04:30:21
358,358,processing,DHL,,
359,359,delivered,FedEx,2025-11-11 22:07:38,2025-11-14 22:07:38
360,360,processing,DPD,,
361,361,delivered,DHL,2026-03-21 00:44:28,2026-03-24 00:44:28
362,362,delivered,DPD,2025-06-13 18:22:40,2025-06-23 18:22:40
363,363,cancelled,,,
364,364,shipped,DHL,2026-02-06 20:10:38,
365,365,cancelled,,,
366,366,delivered,InPost,2026-04-30 13:56:26,2026-05-06 13:56:26
367,367,cancelled,,,
368,368,delivered,InPost,2026-01-14 02:21:44,2026-01-20 02:21:44
369,369,cancelled,,,
370,370,processing,UPS,,
371,371,cancelled,,,
372,372,processing,InPost,,
373,373,cancelled,,,
374,374,delivered,InPost,2025-06-19 13:56:20,2025-06-28 13:56:20
375,375,cancelled,,,
376,376,cancelled,,,
377,377,shipped,InPost,2025-09-06 21:21:36,
378,378,processing,DPD,,
379,379,delivered,UPS,2025-12-23 00:05:56,2025-12-29 00:05:56
380,380,processing,DHL,,
381,381,cancelled,,,
382,382,shipped,UPS,2026-04-05 09:12:51,
383,383,cancelled,,,
384,384,delivered,UPS,2025-06-02 22:37:33,2025-06-11 22:37:33
385,385,processing,DHL,,
386,386,shipped,InPost,2025-06-21 10:04:57,
387,387,cancelled,,,
388,388,delivered,DHL,2025-07-13 23:09:49,2025-07-16 23:09:49
389,389,processing,InPost,,
390,390,delivered,UPS,2025-09-13 07:53:47,2025-09-20 07:53:47
391,391,delivered,DPD,2025-11-23 04:43:21,2025-11-25 04:43:21
392,392,delivered,DPD,2025-12-20 07:03:18,2025-12-29 07:03:18
393,393,delivered,UPS,2025-09-05 06:47:08,2025-09-10 06:47:08
394,394,delivered,InPost,2026-02-08 00:14:23,2026-02-15 00:14:23
395,395,processing,UPS,,
396,396,cancelled,,,
397,397,cancelled,,,
398,398,shipped,UPS,2025-06-02 22:36:32,
399,399,cancelled,,,
400,400,delivered,FedEx,2025-11-04 00:39:13,2025-11-13 00:39:13
401,401,processing,DPD,,
402,402,shipped,DHL,2026-01-04 06:06:57,
403,403,cancelled,,,
404,404,cancelled,,,
405,405,shipped,DPD,2025-08-16 06:56:04,
406,406,delivered,DHL,2025-08-25 22:12:21,2025-09-04 22:12:21
407,407,delivered,DHL,2025-10-08 18:50:29,2025-10-09 18:50:29
408,408,cancelled,,,
409,409,processing,DPD,,
410,410,processing,DPD,,
411,411,cancelled,,,
412,412,cancelled,,,
413,413,delivered,UPS,2025-11-19 21:24:20,2025-11-29 21:24:20
414,414,delivered,UPS,2025-08-01 01:04:36,2025-08-05 01:04:36
415,415,delivered,DPD,2025-09-24 22:32:14,2025-09-26 22:32:14
416,416,processing,FedEx,,
417,417,processing,InPost,,
418,418,shipped,DPD,2026-04-03 12:07:36,
419,419,cancelled,,,
420,420,processing,FedEx,,
421,421,processing,FedEx,,
422,422,processing,UPS,,
423,423,shipped,FedEx,2025-06-20 10:37:50,
424,424,shipped,DHL,2025-10-21 17:50:17,
425,425,delivered,FedEx,2026-04-03 09:23:34,2026-04-12 09:23:34
426,426,cancelled,,,
427,427,shipped,DHL,2025-07-02 19:34:36,
428,428,processing,FedEx,,
429,429,shipped,DPD,2025-12-26 04:06:29,
430,430,delivered,InPost,2026-03-28 02:34:10,2026-04-03 02:34:10
431,431,delivered,UPS,2026-04-11 18:41:56,2026-04-14 18:41:56
432,432,cancelled,,,
433,433,delivered,DHL,2026-05-08 14:51:25,2026-05-16 14:51:25
434,434,cancelled,,,
435,435,processing,DPD,,
436,436,cancelled,,,
437,437,processing,DHL,,
438,438,shipped,DPD,2025-10-24 09:26:33,
439,439,processing,DPD,,
440,440,shipped,FedEx,2025-09-22 04:24:54,
441,441,cancelled,,,
442,442,cancelled,,,
443,443,processing,FedEx,,
444,444,shipped,InPost,2025-11-27 03:08:50,
445,445,processing,InPost,,
446,446,cancelled,,,
447,447,delivered,FedEx,2025-10-15 18:59:46,2025-10-24 18:59:46
448,448,shipped,DPD,2025-08-28 03:20:03,
449,449,cancelled,,,
450,450,shipped,InPost,2026-01-05 07:48:08,
451,451,delivered,FedEx,2025-11-10 02:27:09,2025-11-18 02:27:09
452,452,delivered,InPost,2025-12-29 02:26:52,2026-01-04 02:26:52
453,453,processing,InPost,,
454,454,shipped,InPost,2025-08-31 13:26:36,
455,455,processing,DHL,,
456,456,processing,FedEx,,
457,457,cancelled,,,
458,458,delivered,InPost,2026-02-11 11:55:33,2026-02-17 11:55:33
459,459,shipped,DPD,2025-05-25 16:39:45,
460,460,shipped,FedEx,2025-11-08 08:03:55,
461,461,delivered,DPD,2025-12-27 22:43:10,2025-12-29 22:43:10
462,462,shipped,InPost,2025-09-13 02:23:17,
463,463,delivered,DPD,2025-10-19 12:17:12,2025-10-22 12:17:12
464,464,delivered,DPD,2026-02-27 11:39:46,2026-03-01 11:39:46
465,465,delivered,InPost,2025-09-09 07:58:18,2025-09-11 07:58:18
466,466,processing,DHL,,
467,467,delivered,InPost,2025-11-02 20:55:06,2025-11-08 20:55:06
468,468,processing,UPS,,
469,469,shipped,FedEx,2025-11-16 09:36:55,
470,470,cancelled,,,
471,471,cancelled,,,
472,472,delivered,UPS,2025-05-21 16:49:23,2025-05-23 16:49:23
473,473,delivered,DPD,2025-09-28 00:14:05,2025-10-08 00:14:05
474,474,processing,DHL,,
475,475,delivered,UPS,2026-03-03 05:43:59,2026-03-10 05:43:59
476,476,processing,InPost,,
477,477,cancelled,,,
478,478,delivered,DHL,2025-08-20 12:00:28,2025-08-22 12:00:28
479,479,shipped,InPost,2025-06-25 20:58:26,
480,480,cancelled,,,
481,481,delivered,UPS,2026-01-13 21:42:06,2026-01-17 21:42:06
482,482,delivered,UPS,2026-03-20 21:55:33,2026-03-25 21:55:33
483,483,cancelled,,,
484,484,processing,DPD,,
485,485,cancelled,,,
486,486,delivered,UPS,2025-08-24 00:41:56,2025-08-26 00:41:56
487,487,delivered,DHL,2026-02-11 00:00:32,2026-02-20 00:00:32
488,488,processing,FedEx,,
489,489,cancelled,,,
490,490,processing,DHL,,
491,491,shipped,DHL,2025-12-30 21:47:51,
492,492,shipped,DPD,2026-01-31 21:46:05,
493,493,cancelled,,,
494,494,processing,UPS,,
495,495,shipped,InPost,2026-03-22 09:40:08,
496,496,cancelled,,,
497,497,shipped,DPD,2025-09-27 03:50:17,
498,498,delivered,DPD,2025-07-31 20:19:47,2025-08-05 20:19:47
499,499,shipped,DHL,2025-06-17 00:46:36,
500,500,shipped,InPost,2025-08-05 09:40:03,
501,501,delivered,FedEx,2025-11-22 18:15:07,2025-11-30 18:15:07
502,502,delivered,DHL,2026-02-25 05:48:07,2026-03-06 05:48:07
503,503,shipped,DHL,2025-05-13 04:33:51,
504,504,delivered,DPD,2026-03-26 10:44:02,2026-03-31 10:44:02
505,505,shipped,InPost,2026-02-26 00:49:19,
506,506,processing,DPD,,
507,507,delivered,UPS,2026-03-06 07:53:34,2026-03-09 07:53:34
508,508,delivered,InPost,2026-03-14 22:57:03,2026-03-22 22:57:03
509,509,shipped,DPD,2025-08-11 14:51:02,
510,510,processing,FedEx,,
511,511,delivered,DHL,2025-09-26 13:20:35,2025-10-02 13:20:35
512,512,delivered,DHL,2026-03-03 01:01:17,2026-03-10 01:01:17
513,513,shipped,DPD,2025-09-10 12:51:18,
514,514,processing,InPost,,
515,515,delivered,DHL,2025-10-19 20:22:37,2025-10-27 20:22:37
516,516,cancelled,,,
517,517,cancelled,,,
518,518,cancelled,,,
519,519,cancelled,,,
520,520,shipped,UPS,2025-09-03 14:54:32,
521,521,cancelled,,,
522,522,processing,InPost,,
523,523,cancelled,,,
524,524,shipped,UPS,2026-04-18 04:39:10,
525,525,processing,DHL,,
526,526,processing,FedEx,,
527,527,cancelled,,,
528,528,processing,InPost,,
529,529,processing,DPD,,
530,530,shipped,DPD,2025-11-14 13:09:13,
531,531,delivered,FedEx,2025-09-19 11:02:36,2025-09-21 11:02:36
532,532,delivered,DPD,2025-06-02 21:52:29,2025-06-05 21:52:29
533,533,cancelled,,,
534,534,cancelled,,,
535,535,processing,DPD,,
536,536,shipped,FedEx,2025-08-08 20:09:24,
537,537,cancelled,,,
538,538,shipped,InPost,2025-07-21 17:48:02,
539,539,delivered,DPD,2026-04-15 03:47:55,2026-04-24 03:47:55
540,540,cancelled,,,
541,541,processing,DPD,,
542,542,shipped,DPD,2026-02-23 22:08:58,
543,543,shipped,DPD,2026-02-26 02:14:29,
544,544,delivered,DHL,2026-01-29 16:50:15,2026-02-03 16:50:15
545,545,shipped,DPD,2025-11-02 01:50:09,
546,546,processing,FedEx,,
547,547,processing,DPD,,
548,548,cancelled,,,
549,549,delivered,UPS,2026-04-29 14:36:56,2026-05-04 14:36:56
550,550,delivered,FedEx,2025-08-08 11:01:57,2025-08-11 11:01:57
551,551,cancelled,,,
552,552,cancelled,,,
553,553,cancelled,,,
554,554,shipped,DPD,2026-03-20 03:40:47,
555,555,cancelled,,,
556,556,shipped,UPS,2026-01-03 07:02:13,
557,557,delivered,InPost,2025-07-24 21:21:01,2025-07-30 21:21:01
558,558,processing,DHL,,
559,559,delivered,DPD,2025-06-22 06:33:19,2025-06-24 06:33:19
560,560,delivered,DPD,2026-03-12 22:46:36,2026-03-16 22:46:36
561,561,delivered,InPost,2026-02-05 01:58:37,2026-02-10 01:58:37
562,562,delivered,InPost,2025-06-14 10:20:20,2025-06-24 10:20:20
563,563,cancelled,,,
564,564,processing,DPD,,
565,565,processing,UPS,,
566,566,processing,DPD,,
567,567,cancelled,,,
568,568,delivered,DPD,2025-05-20 09:43:42,2025-05-22 09:43:42
569,569,delivered,DPD,2026-01-26 07:24:23,2026-01-31 07:24:23
570,570,cancelled,,,
571,571,shipped,FedEx,2025-11-20 10:09:27,
572,572,shipped,DHL,2026-03-31 02:11:32,
573,573,shipped,FedEx,2025-09-14 12:10:53,
574,574,processing,InPost,,
575,575,processing,UPS,,
576,576,shipped,FedEx,2025-12-09 10:32:08,
577,577,processing,DHL,,
578,578,processing,DHL,,
579,579,processing,InPost,,
580,580,processing,FedEx,,
581,581,cancelled,,,
582,582,delivered,UPS,2026-03-23 06:26:03,2026-03-30 06:26:03
583,583,delivered,DPD,2025-10-14 13:58:30,2025-10-19 13:58:30
584,584,delivered,InPost,2025-08-15 09:00:00,2025-08-22 09:00:00
585,585,delivered,FedEx,2025-11-07 18:57:27,2025-11-11 18:57:27
586,586,delivered,DPD,2025-10-13 23:29:11,2025-10-17 23:29:11
587,587,shipped,FedEx,2025-12-15 14:47:23,
588,588,shipped,UPS,2025-10-01 18:21:13,
589,589,delivered,InPost,2025-11-05 14:15:00,2025-11-15 14:15:00
590,590,delivered,UPS,2025-08-22 23:42:41,2025-08-27 23:42:41
591,591,shipped,FedEx,2026-01-28 14:29:13,
592,592,shipped,InPost,2025-05-29 23:26:44,
593,593,shipped,DPD,2025-09-18 10:01:06,
594,594,shipped,DPD,2025-11-24 12:49:47,
595,595,cancelled,,,
596,596,cancelled,,,
